X,Y,OBJECTID,Count_,Int_Number,Location
777128.1368,2956358.66,363,817,2024,State St. & Surface Rd. SB  (Monitor #4106)
777453.3246,2955766.16,364,84,2007,Atlantic Ave. & East India Row
779482.7697,2951867.441,365,823,664,Summer St. & World Trade Center Ave (Viaduct St)
745775.5887,2953004.549,366,831,626,Tremont St. & Washington St. (Oak Square)
776207.9493,2953534.909,367,85,45,Atlantic Ave. & Essex St.
788362.5769,2967250.661,368,201,426,Boardman St. near Ashley St.
774914.2364,2954023.779,369,98,3085,Avenue de Lafayette & Chauncy St.
774558.3864,2950699.159,370,247,2320,Broadway Bridge @ Traveler St
751055.4584,2952542.199,371,278,2106,Cambridge St. near Elko St./St. Elizabeth's Hospital
773955.7614,2954106.41,372,100,4,Avery St. & Tremont St.
780652.4498,2961748.661,373,304,2105,Central Sq. near Liverpool St.
766635.7041,2945563.141,374,314,195,Centre St. & Roxbury St.  (John Eliot Sq.)
760341.1639,2938390.665,375,322,3071,"Centre St., Engine #29, & Thomas St."
774414.8239,2954060.659,376,101,18,Avery St. & Washington St.
765011.1634,2940116.074,377,397,1831,Columbus Ave. near Weld Ave.
777394.3242,2958863.911,378,113,32,Battery St. & Commercial St.
767397.8225,2952432.409,379,411,1583,Commonwealth Ave. & Massachusetts Ave. Underpass
758962.3846,2918193.152,380,496,1203,"Davison St., Fairmont Ave., & Pierce St."
771096.8863,2954610.908,381,116,283,Beacon St. & Berkeley St.
767733.8853,2949933.908,382,605,1021,Gainsborough St. & St. Stephens St.
767805.885,2953396.659,383,127,340,Beacon St. & Hereford St.
768847.8858,2944084.907,384,737,386,"Moreland St., Regent St., & Warren St."
749884.158,2955400.84,385,755,85,North Beacon St. near Vineland St.
773722.5738,2955480.16,386,128,406,Beacon St. & Joy St.
756357.1327,2956692.159,387,757,2078,North Harvard St. near Easton St.
